date,new york,cape town,amsterdam,sydney,tokyo,rio de janeiro,jakarta,dubai,svalbard
02/01/15,4,23,7,23,2,32,27,23,-3
03/01/15,4,21,4,27,4,30,28,21,-1
04/01/15,9,22,4,27,4,30,27,20,-7
05/01/15,3,21,1,23,7,28,27,22,-8
06/01/15,-6,21,3,24,11,28,29,22,-4
07/01/15,-8,24,4,27,8,30,29,20,-1
08/01/15,-9,22,6,26,7,31,29,22,-2
09/01/15,-2,22,9,27,8,32,30,20,0
10/01/15,-6,21,9,24,7,33,29,21,-4
11/01/15,-2,22,6,21,6,28,29,22,-4
12/01/15,3,23,9,21,6,30,27,21,-11
13/01/15,-2,22,8,23,6,29,27,20,-9
14/01/15,-3,26,3,28,6,29,27,20,-11
15/01/15,-1,22,6,23,7,31,28,20,-12
16/01/15,1,19,6,24,8,30,28,20,-16
17/01/15,-4,18,2,28,7,30,27,21,-16
18/01/15,3,20,2,24,6,30,27,22,-11
19/01/15,4,22,0,21,6,28,26,18,-7
20/01/15,3,22,1,22,8,29,27,17,-4
21/01/15,0,24,-1,23,3,30,27,17,-4
22/01/15,2,23,-1,26,6,29,24,18,0
23/01/15,1,23,-3,27,9,28,26,18,1
24/01/15,3,22,2,27,7,28,27,19,-1
25/01/15,4,22,3,28,7,30,28,20,-4
26/01/15,-2,22,7,21,10,29,26,21,-9
27/01/15,-4,22,5,19,10,31,27,21,-17
28/01/15,-4,23,4,19,6,31,28,21,-18
29/01/15,-3,26,2,18,3,32,28,22,-18
30/01/15,-2,22,1,19,3,29,29,23,-21
31/01/15,-6,20,2,21,7,28,28,23,-19
01/02/15,-2,21,2,22,4,28,24,23,-18
02/02/15,-4,22,3,21,6,24,28,21,-15
03/02/15,-7,21,2,21,6,27,28,21,-9
04/02/15,-1,21,1,20,6,27,27,24,-2
05/02/15,-3,21,-2,21,4,28,27,24,-6
06/02/15,-7,22,0,22,6,27,27,20,-17
07/02/15,-1,24,1,23,7,27,28,21,-17
08/02/15,2,20,4,26,4,27,24,22,-19
09/02/15,-2,21,4,24,3,28,24,26,-23
10/02/15,1,20,6,24,3,31,26,26,-22
11/02/15,-2,18,4,26,6,32,26,26,-22
12/02/15,-2,21,3,26,8,33,28,27,-19
13/02/15,-9,19,5,23,6,31,27,26,-20
14/02/15,-3,21,7,24,6,29,27,27,-21
15/02/15,-9,20,3,24,6,28,27,26,-11
16/02/15,-10,21,2,26,7,27,27,24,0
17/02/15,-6,22,4,26,4,29,24,27,-1
18/02/15,-5,20,3,26,4,29,28,28,-8
19/02/15,-8,20,3,24,6,31,26,28,-14
20/02/15,-11,20,5,24,7,31,27,31,-18
21/02/15,-6,18,4,22,7,28,28,27,-22
22/02/15,3,17,2,23,8,28,28,21,-24
23/02/15,-4,22,6,24,13,28,27,19,-20
24/02/15,-8,23,6,22,10,29,29,20,-16
25/02/15,-2,22,3,21,9,28,28,19,-9
26/02/15,-2,21,6,23,7,28,28,20,-11
27/02/15,-3,21,4,24,9,30,28,22,-14
28/02/15,-5,21,4,24,7,28,28,20,-12
01/03/15,-3,23,8,29,8,26,28,20,-9
02/03/15,1,27,4,21,10,27,28,21,-7
03/03/15,-2,28,4,23,7,28,28,22,-3
04/03/15,3,19,4,24,10,27,29,22,-4
05/03/15,-1,19,4,23,10,29,28,22,-3
06/03/15,-7,19,6,23,8,30,28,21,-2
07/03/15,-3,19,8,22,7,27,29,21,-1
08/03/15,4,19,8,22,8,28,28,24,0
09/03/15,6,22,7,26,9,28,27,24,-2
10/03/15,6,21,7,23,8,28,28,27,-6
11/03/15,11,21,4,24,6,30,28,24,-8
12/03/15,6,19,6,23,9,28,28,21,-9
13/03/15,2,20,4,20,9,29,28,22,-6
14/03/15,7,22,3,20,9,27,28,23,-3
15/03/15,6,21,6,20,9,29,27,25,1
16/03/15,6,18,7,19,11,29,28,25,-9
17/03/15,8,22,8,20,15,24,29,27,-10
18/03/15,2,21,4,24,14,27,29,28,-12
19/03/15,3,20,9,23,12,27,28,29,-15
20/03/15,2,18,5,24,11,28,28,30,-18
21/03/15,4,21,6,20,11,26,27,30,-17
22/03/15,3,19,4,22,12,27,28,30,-14
23/03/15,1,22,3,23,10,24,29,26,-15
24/03/15,2,21,5,23,9,26,28,24,-16
25/03/15,3,22,6,19,9,26,27,23,-11
26/03/15,9,20,3,23,9,26,27,26,-2
27/03/15,7,22,4,20,11,27,27,26,-1
28/03/15,2,20,6,19,13,27,27,26,-4
29/03/15,3,20,9,21,16,27,29,24,-9
30/03/15,8,21,7,20,16,28,29,26,-9
31/03/15,6,22,8,20,16,29,29,31,-8
01/04/15,7,19,7,22,14,28,29,30,-8
02/04/15,7,19,7,24,11,26,28,27,-11
03/04/15,12,18,7,19,17,26,28,25,-14
04/04/15,10,18,6,18,16,26,28,22,-13
05/04/15,11,19,4,19,11,29,28,27,-7
06/04/15,10,18,7,20,16,29,29,27,-4
07/04/15,11,22,7,19,10,23,28,26,-4
08/04/15,6,21,9,18,6,24,28,26,-7
09/04/15,5,22,11,18,8,24,28,29,-4
10/04/15,9,20,11,17,9,24,30,30,-7
11/04/15,12,21,9,18,12,24,28,32,-3
12/04/15,11,21,9,18,13,24,28,34,-4
13/04/15,12,19,8,18,10,24,28,32,-2
14/04/15,14,16,11,19,12,24,28,27,-2
